order_id,date,region,product,category,customer_id,customer_segment,channel,quantity,unit_price,discount_pct,revenue,cost,profit
10000,2026-02-28,West,Product C,Accessory,CUST1170,Loyal,Retail Store,4,300,15,1020.0,720.0,300.0
10001,2026-02-28,North,Product C,Accessory,CUST1485,New,Retail Store,2,300,20,480.0,360.0,120.0
10002,2026-02-28,West,Product A,Core,CUST1492,At Risk,Retail Store,3,500,0,1500.0,900.0,600.0
10003,2026-02-28,North,Product A,Core,CUST1304,Lost,Online,4,500,5,1900.0,1200.0,700.0
10004,2026-02-28,West,Product B,Core,CUST1044,At Risk,Online,4,750,10,2700.0,1800.0,900.0
10005,2026-02-28,West,Product C,Accessory,CUST1143,New,Online,1,300,0,300.0,180.0,120.0
10006,2026-02-28,North,Product C,Accessory,CUST1457,New,Retail Store,3,300,10,810.0,540.0,270.0
10007,2026-02-28,West,Product A,Core,CUST1544,Champions,Retail Store,1,500,15,425.0,300.0,125.0
10008,2026-02-28,North,Product B,Core,CUST1157,At Risk,Online,3,750,10,2025.0,1350.0,675.0
10009,2026-02-28,North,Product D,Accessory,CUST1314,Loyal,Retail Store,2,1200,5,2280.0,1440.0,840.0
10010,2026-02-28,South,Product A,Core,CUST1329,Loyal,Online,4,500,0,2000.0,1200.0,800.0
10011,2026-02-28,South,Product C,Accessory,CUST1254,Loyal,Partner,4,300,0,1200.0,720.0,480.0
10012,2026-02-28,South,Product A,Core,CUST1071,New,Partner,3,500,10,1350.0,900.0,450.0
10013,2026-02-28,East,Product B,Core,CUST1297,At Risk,Online,4,750,0,3000.0,1800.0,1200.0
10014,2026-02-28,North,Product A,Core,CUST1332,At Risk,Online,1,500,0,500.0,300.0,200.0
10015,2026-02-28,South,Product D,Accessory,CUST1577,New,Online,4,1200,0,4800.0,2880.0,1920.0
10016,2026-02-28,West,Product A,Core,CUST1336,Champions,Partner,2,500,5,950.0,600.0,350.0
10017,2026-02-28,East,Product B,Core,CUST1371,Loyal,Online,3,750,0,2250.0,1350.0,900.0
10018,2026-02-28,North,Product D,Accessory,CUST1000,At Risk,Retail Store,2,1200,10,2160.0,1440.0,720.0
10019,2026-02-28,South,Product B,Core,CUST1569,New,Retail Store,4,750,15,2550.0,1800.0,750.0
10020,2026-02-28,East,Product A,Core,CUST1102,Loyal,Online,3,500,10,1350.0,900.0,450.0
10021,2026-02-28,West,Product B,Core,CUST1560,Champions,Online,2,750,0,1500.0,900.0,600.0
10022,2026-02-28,North,Product A,Core,CUST1343,New,Online,1,500,0,500.0,300.0,200.0
10023,2026-02-28,North,Product A,Core,CUST1381,Lost,Online,2,500,0,1000.0,600.0,400.0
10024,2026-02-28,South,Product B,Core,CUST1138,At Risk,Online,2,750,15,1275.0,900.0,375.0
10025,2026-02-28,North,Product B,Core,CUST1164,New,Online,2,750,10,1350.0,900.0,450.0
10026,2026-02-28,North,Product A,Core,CUST1358,New,Online,1,500,0,500.0,300.0,200.0
10027,2026-02-28,South,Product D,Accessory,CUST1289,Champions,Online,1,1200,10,1080.0,720.0,360.0
10028,2026-02-28,North,Product A,Core,CUST1191,Loyal,Partner,1,500,0,500.0,300.0,200.0
10029,2026-02-28,North,Product A,Core,CUST1423,Champions,Online,3,500,5,1425.0,900.0,525.0
10030,2026-02-28,West,Product A,Core,CUST1168,Loyal,Retail Store,4,500,0,2000.0,1200.0,800.0
10031,2026-02-28,East,Product D,Accessory,CUST1174,Loyal,Partner,2,1200,5,2280.0,1440.0,840.0
10032,2026-02-28,East,Product D,Accessory,CUST1047,Loyal,Retail Store,2,1200,0,2400.0,1440.0,960.0
10033,2026-02-28,East,Product B,Core,CUST1177,Lost,Online,1,750,0,750.0,450.0,300.0
10034,2026-02-28,North,Product A,Core,CUST1230,Champions,Online,1,500,10,450.0,300.0,150.0
10035,2026-02-28,East,Product A,Core,CUST1074,Champions,Retail Store,4,500,0,2000.0,1200.0,800.0
